'Cold-shock' DNA-binding domain	PF00313
Ribosomal_S28e	PF01200
Ribosomal_S30	PF04758
Ribosomal_S30AE	PF02482
Ribosomal_S3Ae	PF01015
Ribosomal_S3_C	PF00189
Ribosomal_S4	PF00163
Ribosomal_S4Pg	PF11993
Ribosomal_S4e	PF00900
Ribosomal_S5	PF00333
Ribosomal_S5_C	PF03719
Ribosomal_S6	PF01250
Ribosomal_S6e	PF01092
Ribosomal_S7	PF00177
Ribosomal_S7e	PF01251
Ribosomal_S8	PF00410
Ribosomal_S8e	PF01201
Ribosomal_S9	PF00380
Ribosomal_TL5_C	PF14693
Ribosomally synthesised peptide in actinomycetes	PF14408
Ribosomally synthesized peptide in Bacteroidetes	PF14406
Ribosomally synthesized peptide in Herpetosiphon	PF14409
Ribosomally synthesized peptide in Streptomyces species	PF14404
Ribosomally synthesized peptide prototyped by Frankia Franean1_4349.	PF14407
Ribosome 60S biogenesis N-terminal	PF11707
Ribosome associated membrane protein RAMP4	PF06624
Ribosome biogenesis protein Nop16	PF09420
Ribosome biogenesis protein SLX9	PF15341
Ribosome biogenesis regulatory protein (RRS1)	PF04939
Ribosome inactivating protein	PF00161
Ribosome modulation factor	PF04957
Ribosome receptor lysine/proline rich region	PF05104
Ribosome recycling factor	PF01765
Ribosome recycling factor	PF12614
Ribosome-assembly protein 3	PF14615
Ribosome-associated complex head domain	PF16717
Ribosome-binding factor A	PF02033
Ribul_P_3_epim	PF00834
Ribulose bisphosphate carboxylase large chain, N-terminal domain	PF02788
Ribulose bisphosphate carboxylase large chain, catalytic domain	PF00016
Ribulose bisphosphate carboxylase, small chain	PF00101
Ribulose-1,5-bisphosphate carboxylase small subunit	PF12338
Ribulose-phosphate 3 epimerase family	PF00834
Ric8	PF10165
Rice dwarf virus p3	PF09231
Rice tungro bacilliform virus P12 protein	PF06361
Rice tungro bacilliform virus P46 protein	PF06216
Ricin-type beta-trefoil lectin domain	PF00652
Ricin-type beta-trefoil lectin domain-like	PF14200
RicinB_lectin_2	PF14200
Ricin_B_lectin	PF00652
Rick_17kDa_Anti	PF05433
Rickettsia outer membrane protein B	PF12334
Rieske	PF00355
Rieske [2Fe-2S] domain	PF00355
Rieske-like [2Fe-2S] domain	PF13806
Rieske_2	PF13806
Rif1_N	PF12231
Rifampin ADP-ribosyl transferase	PF12120
Rifin/stevor family	PF02009
Rifin_STEVOR	PF02009
Rift valley fever virus non structural protein (NSs) like	PF11073
Right handed beta helix region	PF13229
RimK	PF08443
RimK-like ATP-grasp domain	PF08443
RimK-like ATPgrasp N-terminal domain	PF14401
RimM	PF01782
RimM N-terminal domain	PF01782
RinB	PF06116
Ring finger domain	PF13639
Ring hydroxylating alpha subunit (catalytic domain)	PF00848
Ring hydroxylating beta subunit	PF00866
Ring_hydroxyl_A	PF00848
Ring_hydroxyl_B	PF00866
Rio2, N-terminal	PF09202
Rio2_N	PF09202
Ripply	PF14998
RisS_PPD	PF16524
Rit1 DUSP-like domain	PF04179
Rit1 N-terminal domain	PF17184
Rit1_C	PF17184
Rix1 complex component involved in 60S ribosome maturation	PF12333
RloB	PF13707
RloB-like protein	PF13707
RmlD substrate binding domain	PF04321
RmlD_sub_bind	PF04321
RmuC	PF02646
RmuC family	PF02646
RnaseA	PF00074
Rnf-Nqr	PF02508
Rnf-Nqr subunit, membrane protein	PF02508
RnfC Barrel sandwich hybrid domain	PF13375
RnfC_N	PF13375
RnfH family Ubiquitin	PF03658
Rnk N-terminus	PF14760
Rnk_N	PF14760
RnlA_toxin	PF15935
RnlB_antitoxin	PF15933
Roadblock/LC7 domain	PF03259
Robl_LC7	PF03259
Roc	PF08477
Rod binding protein	PF10135
Rod-binding	PF10135
Rod_C	PF10493
Rod_cone_degen	PF15201
Rogdi leucine zipper containing protein	PF10259
Rogdi_lz	PF10259
RolB/RolC glucosidase family	PF02027
RolB_RolC	PF02027
Romo1	PF10247
Root cap	PF06830
Root hair defective 3 GTP-binding protein (RHD3)	PF05879
Root_cap	PF06830
Rootletin	PF15035
Rop	PF01815
Rop protein	PF01815
Rop-like	PF05082
Rop-like	PF05082
Rossmann-like	PF10727
Rossmann-like domain	PF10727
Rot1	PF10681
Rota_Capsid_VP6	PF00980
Rota_NS26	PF01525
Rota_NS35	PF02509
Rota_NS53	PF00981
Rota_NS6	PF04866
Rota_NSP3	PF01665
Rota_NSP4	PF01452
Rota_VP2	PF05087
Rotamase	PF00639
Rotamase_2	PF13145
Rotamase_3	PF13616
Rotatin, an armadillo repeat protein, centriole functioning	PF14726
Rotavirus NS26	PF01525
Rotavirus RNA-binding Protein 53 (NS53)	PF00981
Rotavirus VP1 C-terminal domain	PF12289
Rotavirus VP2 protein	PF05087
Rotavirus VP3 protein	PF06929
Rotavirus major capsid protein VP6	PF00980
Rotavirus major outer capsid protein VP7	PF05868
Rotavirus non structural protein	PF01452
Rotavirus non-structural protein 35	PF02509
Rotavirus non-structural protein 6	PF04866
Rotavirus non-structural protein NSP3	PF01665
Rotavirus_VP1	PF12289
Rotavirus_VP3	PF06929
Rotavirus_VP7	PF05868
Rough colony protein B, tight adherence - tad - subunit	PF16971
Rough deal protein C-terminal region	PF10493
Roughex	PF06020
Rox3	PF08633
Rox3 mediator complex subunit	PF08633
Rpn3_C	PF08375
Rpp14/Pop5 family	PF01900
Rpp20	PF12328
Rpp20 subunit of nuclear RNase MRP and P	PF12328
Rpr2	PF04032
RraB	PF06877
Rrf2	PF02082
Rrn6	PF10214
RrnaAD	PF00398
Rrp15p	PF07890
Rrp15p	PF07890
Rsa3	PF14615
RsbRD_N	PF14361
RsbT co-antagonist protein rsbRD N-terminal domain	PF14361
RsbU_N	PF08673
Rsbr N terminal	PF08678
Rsbr_N	PF08678
Rsc14	PF08586
RsdA_SigD_bd	PF16751
Rsd_AlgQ	PF04353
RseA_C	PF03873
RseA_N	PF03872
RseC_MucC	PF04246
RsfS	PF02410
RsgA N-terminal domain	PF16745
RsgA_N	PF16745
RsgI_N	PF12791
RskA	PF10099
Rsm1	PF08600
Rsm1-like	PF08600
Rsm22	PF09243
RsmF rRNA methyltransferase first C-terminal domain	PF17126
RsmF_methylt_CI	PF17126
RsmJ	PF04378
RtcB	PF01139
RtcR	PF06956
RteC	PF09357
RteC protein	PF09357
Rtf2	PF04641
Rtf2 RING-finger	PF04641
Rtr1/RPAP2 family	PF04181
Rtt102p	PF09510
Rtt102p-like transcription regulator protein	PF09510
Rtt106	PF08512
RtxA	PF07634
RtxA repeat	PF07634
RuBisCO_large	PF00016
RuBisCO_large_N	PF02788
RuBisCO_small	PF00101
Rubber elongation factor protein (REF)	PF05755
Rubella capsid protein	PF05750
Rubella membrane glycoprotein E1	PF05748
Rubella membrane glycoprotein E2	PF05749
Rubella virus endopeptidase	PF05407
Rubella_Capsid	PF05750
Rubella_E1	PF05748
Rubella_E2	PF05749
Rubi_NSP_C	PF12601
Rubis-subs-bind	PF09273
Rubisco LSMT substrate-binding	PF09273
Rubivirus non-structural protein	PF12601
Rubredoxin	PF00301
Rubredoxin	PF00301
Rubredoxin-like zinc ribbon domain (DUF35_N)	PF12172
Rubrerythrin	PF02915
Rubrerythrin	PF02915
Runt	PF00853
Runt domain	PF00853
Runx inhibition domain	PF08504
RunxI	PF08504
RusA	PF05866
RuvA N terminal domain	PF01330
RuvA, C-terminal domain	PF07499
RuvA_C	PF07499
RuvA_N	PF01330
RuvB_C	PF05491
RuvB_N	PF05496
RuvC	PF02075
RuvX	PF03652
Rv0623-like transcription factor	PF07704
Rxt3	PF08642
RyR	PF02026
RyR and IP3R Homology associated	PF08454
RyR domain	PF02026
Ryanodine Receptor TM 4-6	PF06459
Rz1	PF06085
S locus-related glycoprotein 1 binding pollen coat protein (SLR1-BP)	PF07333
S phase cyclin A-associated protein in the endoplasmic reticulum	PF16501
S-100/ICaBP type calcium binding domain	PF01023
S-AdoMet_synt_C	PF02773
S-AdoMet_synt_M	PF02772
S-AdoMet_synt_N	PF00438
S-Ribosylhomocysteinase (LuxS)	PF02664
S-adenosyl methyltransferase	PF04672
S-adenosyl-L-homocysteine hydrolase	PF05221
S-adenosyl-L-homocysteine hydrolase, NAD binding domain	PF00670
S-adenosyl-L-methionine methyltransferase	PF12692
S-adenosyl-L-methionine-dependent methyltransferase	PF05430
S-adenosyl-l-methionine decarboxylase leader peptide	PF08132
S-adenosyl-l-methionine hydroxide adenosyltransferase	PF01887
S-adenosylmethionine decarboxylase	PF02675
S-adenosylmethionine synthetase (AdoMet synthetase)	PF01941
S-adenosylmethionine synthetase, C-terminal domain	PF02773
S-adenosylmethionine synthetase, N-terminal domain	PF00438
S-adenosylmethionine synthetase, central domain	PF02772
S-adenosylmethionine-dependent methyltransferase	PF10672
S-antigen	PF05756
S-antigen protein	PF05756
S-layer	PF07752
S-layer homology domain	PF00395
S-layer like family, C-terminal region	PF05124
S-layer like family, N-terminal region	PF05123
S-layer protein	PF07752
S-locus glycoprotein domain	PF00954
S-methyl_trans	PF02574
S-phase genomic integrity recombination mediator, C-terminal	PF14911
S-phase genomic integrity recombination mediator, N-terminal	PF14910
S-type Pyocin	PF06958
S1	PF00575
S1 RNA binding domain	PF00575
S1 domain	PF13509
S1-P1_nuclease	PF02265
S1-like	PF14444
S1-like	PF14444
S1/P1 Nuclease	PF02265
S100P-binding protein	PF15427
S100PBPR	PF15427
S10_plectin	PF03501
S19	PF06756
S1FA	PF04689
S1_2	PF13509
S25 ribosomal protein	PF03297
S4	PF01479
S4 domain	PF01479
S4 domain	PF13275
S4_2	PF13275
S6OS1	PF15676
S6PP	PF05116
S6PP_C	PF08472
S8_pro-domain	PF16470
SAA	PF00277
SAB	PF04382
SAB domain	PF04382
SAC3	PF12209
SAC3/GANP family	PF03399
SAC3_GANP	PF03399
SAD/SRA domain	PF02182
SAD_SRA	PF02182
SAE2	PF08573
SAF	PF08666
SAF domain	PF08666
SAG	PF04092
SAGA-Tad1	PF12767
SAICAR synthetase	PF01259
SAICAR_synt	PF01259
SAM dependent carboxyl methyltransferase	PF03492
SAM domain (Sterile alpha motif)	PF00536
SAM domain (Sterile alpha motif)	PF07647
SAM like domain present in kinase suppressor RAS 1	PF13543
SAM-binding_domain	PF16950
SAM-dependent RNA methyltransferase	PF09936
SAM35	PF10806
SAM35, subunit of SAM coomplex	PF10806
SAMBD	PF16950
SAMP	PF05924
SAMP Motif	PF05924
SAM_1	PF00536
SAM_2	PF07647
SAM_MT	PF04445
SAM_PNT	PF02198
SAM_adeno_trans	PF01887
SAM_decarbox	PF01536
SAND	PF01342
SAND domain	PF01342
SANT/Myb-like domain of DAMP1	PF16282
SANTA	PF09133
SANTA (SANT Associated)	PF09133
SANT_DAMP1_like	PF16282
SAP	PF02037
SAP domain	PF02037
SAP130_C	PF16014
SAP18	PF06487
SAP25	PF15476
SAP30 zinc-finger	PF13866
SAP30_Sin3_bdg	PF13867
SAPI	PF16560
SAPIS-gp6	PF16722
SAPK-interacting protein 1 (Sin1), Pleckstrin-homology	PF16979
SAPK-interacting protein 1 (Sin1), middle CRIM domain	PF16978
SAPS	PF04499
SARA	PF11409
SARAF	PF06682
SARG	PF15385
SARS coronavirus X4 like	PF08779
SARS lipid binding protein	PF09399
SARS_3b	PF12383
SARS_X4	PF08779
SARS_lipid_bind	PF09399
SART-1	PF03343
SART-1 family	PF03343
SAS-6_N	PF16531
SAS4	PF15460
SASA	PF03629
SASP	PF00269
SASP_gamma	PF04259
SASRP1	PF15160
SAT	PF16073
SATase_N	PF06426
SAWADEE	PF16719
SAWADEE domain	PF16719
SAYSvFN	PF10260
SBBP	PF06739
SBDS	PF01172
SBDS protein C-terminal domain	PF09377
SBDS_C	PF09377
SBE2	PF17076
SBE2, cell-qall formation	PF17076
SBF	PF01758
SBF-like CPA transporter family (DUF4137)	PF13593
SBF2	PF12335
SBF_like	PF13593
SBP	PF03110
SBP domain	PF03110
SBP56	PF05694
SBP_bac_1	PF01547
SBP_bac_10	PF07596
SBP_bac_11	PF13531
SBP_bac_3	PF00497
SBP_bac_5	PF00496
SBP_bac_6	PF13343
SBP_bac_8	PF13416
SCA7	PF08313
SCA7, zinc-binding domain	PF08313
SCAB-ABD	PF16711
SCAB-IgPH	PF16709
SCAB_CC	PF16712
SCAMP	PF04144
SCAMP family	PF04144
SCAN	PF02023
SCAN domain	PF02023
SCAPER_N	PF16501
SCF	PF02404
SCFA_trans	PF02667
SCHIP-1	PF10148
SCIMP	PF15050
SCIMP protein	PF15050
SCL-interrupting locus protein N-terminus	PF15253
SCNM1_acidic	PF15805
SCO1-SenC	PF02630
SCO1/SenC	PF02630
SCP-1	PF05483
SCP-2 sterol transfer family	PF02036
SCP1.201-like deaminase	PF14428
SCP1201-deam	PF14428
SCP2	PF02036
SCP2_2	PF13530
SCPU	PF05229
SCRG1	PF15224
SCRL	PF06876
SDA1	PF05285
SDA1	PF05285
SDF	PF00375
SDH_alpha	PF03313
SDH_beta	PF03315
SDH_sah	PF01972
SDP_N	PF12278
SE	PF08491
SEA	PF01390
SEA domain	PF01390
SEC-C	PF02810
SEC-C motif	PF02810
SEEEED	PF14797
SEEK1	PF15357
SEF14-like adhesin	PF06443
SEF14_adhesin	PF06443
SEFIR	PF08357
SEFIR domain	PF08357
SEN1 N terminal	PF12726
SEN1_N	PF12726
SEO_C	PF14577
SEO_N	PF14576
SEP	PF08059
SEP domain	PF08059
SERTA	PF06031
SERTA motif	PF06031
SET	PF00856
SET domain	PF00856
SET_assoc	PF11767
SF-assemblin	PF06705
SF-assemblin/beta giardin	PF06705
SF1-HH	PF16275
SF3A2	PF16835
SF3A3	PF16837
SF3a60_bindingd	PF12108
SF3b1	PF08920
SF3b10	PF07189
SFI toxin family	PF08115
SFTA2	PF15210
SGF29 tudor-like domain	PF07039
SGIII	PF15467
SGL	PF08450
SGNH hydrolase-like domain, acetyltransferase AlgX	PF16822
SGS	PF05002
SGS domain	PF05002
SGT1	PF07093
SGT1 protein	PF07093
SGTA_dimer	PF16546
SH	PF01445
SH2	PF00017
SH2 domain	PF00017
SH2 domain	PF14633
SH2_2	PF14633
SH3 domain	PF00018
SH3 domain (SH3b1 type)	PF12913
SH3 domain of SH3b2 type	PF12914
SH3 domain-binding protein 5 (SH3BP5)	PF05276
SH3 terminal domain of 2nd SH3 on Neutrophil cytosol factor 1	PF16621
SH3-RhoGEF linking unstructured region	PF16609
SH3-RhoG_link	PF16609
SH3-WW_linker	PF16618
SH3-binding, glutamic acid-rich protein	PF04908
SH3-like domain	PF13457
SH3BGR	PF04908
SH3BP5	PF05276
SH3_1	PF00018
SH3_2	PF07653
SH3_3	PF08239
SH3_4	PF06347
SH3_5	PF08460
SH3_6	PF12913
SH3_7	PF12914
SH3_8	PF13457
SH3_9	PF14604
SHD1	PF03983
SHE3	PF17078
SHIPPO-rpt	PF07004
SHMT	PF00464
SHNi-TPR	PF10516
SHNi-TPR	PF10516
SHOCT	PF09851
SHP	PF03579
SHP2-interacting transmembrane adaptor protein, SIT	PF15330
SHQ1	PF04925
SHQ1 protein	PF04925
SHR-BD	PF06650
SHR-binding domain of vacuolar-sorting associated protein 13	PF06650
SHR3_chaperone	PF08229
SHS2 domain found in N terminus of Rpb7p/Rpc25p/MJ0397	PF03876
SHS2 domain inserted in FTSA	PF02491
SHS2_FTSA	PF02491
SHS2_Rpb7-N	PF03876
SIC	PF03482
SICA C-terminal inner membrane domain	PF12879
SICA extracellular alpha domain	PF12887
SICA extracellular beta domain	PF12878
SICA_C	PF12879
SICA_alpha	PF12887
SICA_beta	PF12878
SID	PF11778
SID-1_RNA_chan	PF13965
SIL1	PF16782
SIMPL	PF04402
SIM_C	PF06621
SIN1	PF05422
SIN1_PH	PF16979
SIP	PF04954
SIP1	PF04938
SIR2	PF02146
SIR2-like domain	PF13289
SIR2_2	PF13289
SIR4_SID	PF16991
SIS	PF01380
SIS domain	PF01380
SIS domain	PF13580
SIS_2	PF13580
SIT	PF15330
SIT4 phosphatase-associated protein	PF04499
SIX1_SD	PF16878
SKA2	PF16740
SKG6	PF08693
SKI	PF01202
SKI/SNO/DAC family	PF02437
SKIP/SNW domain	PF02731
SKIP_SNW	PF02731
SKN1	PF03935
SK_channel	PF03530
SLA1 homology domain 1, SHD1	PF03983
SLAC1	PF03595
SLAIN	PF15301
SLAIN motif-containing family	PF15301
SLAM	PF06214
SLAP	PF03217
SLBB	PF10531
SLBB domain	PF10531
SLBP_RNA_bind	PF15247
SLC12	PF03522
SLC35F	PF06027
SLC3A2_N	PF16028
SLD3	PF08639
SLD5_C	PF16922
SLH	PF00395
SLIDE	PF09111
SLIDE	PF09111
SLM4	PF16818
SLR1-BP	PF07333
SLS	PF14611
SLT	PF01464
SLT_2	PF13406
SLT_L	PF14718
SLT_beta	PF02258
SLX9	PF15341
SLY	PF12485
SM-ATX	PF14438
SMAP	PF15477
SMBP	PF16785
SMC proteins Flexible Hinge Domain	PF06470
SMC_N	PF02463
SMC_Nse1	PF07574
SMC_ScpA	PF02616
SMC_ScpB	PF04079
SMC_hinge	PF06470
SMG1	PF15785
SMI1 / KNR4 family (SUKH-1)	PF09346
SMI1-KNR4 cell-wall	PF14567
SMI1-KNR4 cell-wall	PF14568
SMI1_KNR4	PF09346
SMK-1	PF04802
SMN	PF06003
SMP	PF04927
SMP-30/Gluconolaconase/LRE-like region	PF08450
SMP_2	PF10144
SMP_LBD	PF17047
SMRP1	PF15181
SNAP	PF14938
SNAP-25	PF00835
SNAP-25 family	PF00835
SNAPc19	PF15497
SNAPc_SNAP43	PF09808
SNARE	PF05739
SNARE associated Golgi protein	PF09335
SNARE domain	PF05739
SNARE-complex protein Syntaxin-18 N-terminus	PF10496
SNARE_assoc	PF09335
SNCAIP_SNCA_bd	PF16700
SNF	PF00209
SNF2 Helicase protein	PF12419
SNF2 family N-terminal domain	PF00176
SNF2_N	PF00176
SNF2_assoc	PF08455
SNF5	PF04855
SNF5 / SMARCB1 / INI1	PF04855
SNN_cytoplasm	PF09051
SNN_linker	PF09050
SNN_transmemb	PF09049
SNO	PF01174
SNO glutamine amidotransferase family	PF01174
SNURF	PF07192
SNURF/RPN4 protein	PF07192
SNase	PF00565
SOAR	PF16533
SOBP	PF15279
SOCE-associated regulatory factor of calcium homoeostasis	PF06682
SOCS	PF12610
SOCS box	PF07525
SOCS_box	PF07525
SOG2	PF10428
SOH1	PF05669
SOP4	PF17081
SOR	PF07682
SOR/SNZ family	PF01680
SOR_SNZ	PF01680
SOS response associated peptidase (SRAP)	PF02586
SOSS complex subunit C	PF15925
SOSSC	PF15925
SOTI	PF17079
SOUL	PF04832
SOUL heme-binding protein	PF04832
SOX transcription factor	PF12336
SOXp	PF12336
SP2	PF03014
SP24	PF16504
SPA	PF08616
SPACA7	PF15307
SPAM	PF02090
SPAN	PF02510
SPAN-X	PF07458
SPARC_Ca_bdg	PF10591
SPAR_C	PF11881
SPASM	PF13186
SPATA19	PF15212
SPATA1_C	PF15743
SPATA24	PF15175
SPATA25	PF15218
SPATA3	PF15662
SPATA6	PF14909
SPATA9	PF15824
SPATIAL	PF15256
SPATIAL	PF15256
SPC12	PF06645
SPC22	PF04573
SPC25	PF06703
SPDY	PF03771
SPEG_u2	PF16650
SPESP1	PF15754
SPFH domain / Band 7 family	PF01145
SPFH domain-Band 7 family	PF13421
SPG48	PF14764
SPICE	PF15678
SPK	PF04435
SPO11 homologue	PF03533
SPO11_like	PF03533
SPO22	PF08631
SPOB_a	PF14689
SPOB_ab	PF14682
SPOC	PF07744
SPOC domain	PF07744
SPOR	PF05036
SPOUT_MTase	PF02590
SPOUT_MTase_2	PF14419
SPP	PF06550
SPP1 phage holin	PF04688
SPR1	PF15356
SPRR2	PF14820
SPRY	PF00622
SPRY domain	PF00622
SPRY-associated domain	PF13765
SPT16	PF08644
SPT2	PF08243
SPT2 chromatin protein	PF08243
SPT6_acidic	PF14632
SPW	PF03779
SPW repeat	PF03779
SPX	PF03105
SPX domain	PF03105
SP_C-Propep	PF08999
SQAPI	PF16845
SQHop_cyclase_C	PF13243
SQHop_cyclase_N	PF13249
SQS_PSY	PF00494
SR-25	PF10500
SR1 protein	PF13790
SR1P	PF13790
SRA1	PF07304
SRAP	PF02586
SRC-1	PF08832
SRCR	PF00530
SRCR_2	PF15494
SRF-TF	PF00319
SRF-type transcription factor (DNA-binding and dimerisation domain)	PF00319
SRI	PF08236
SRI (Set2 Rpb1 interacting) domain	PF08236
SRP-alpha_N	PF04086
SRP14	PF02290
SRP19	PF01922
SRP19 protein	PF01922
SRP1_TIP1	PF00660
SRP40, C-terminal domain	PF05022
SRP40_C	PF05022
SRP54	PF00448
SRP54-type protein, GTPase domain	PF00448
SRP54-type protein, helical bundle domain	PF02881
SRP54_N	PF02881
SRP68	PF16969
SRP72	PF08492
SRP72 RNA-binding domain	PF08492
SRP9-21	PF05486
SRPRB	PF09439
SRP_SPB	PF02978
SRP_TPR_like	PF17004
SRR	PF07709
SRR1	PF07985
SRR1	PF07985
SRRM_C	PF15230
SRS domain	PF04092
SRTM1	PF15872
SRX	PF09201
SRX, signal recognition particle receptor alpha subunit	PF09201
SSB	PF00436
SSDP	PF04503
SSF	PF00474
SSFA2_C	PF14723
SSI	PF00720
SSL_OB	PF09199
SSP160	PF06933
SSPI	PF14098
SSTK-IP	PF15836
SSTK-interacting protein, TSSK6-activating co-chaperone protein	PF15836
SSURE	PF11966
SSV1_ORF_D-335	PF07935
SSXRD	PF09514
SSXRD motif	PF09514
SSXT	PF05030
SSXT protein (N-terminal region)	PF05030
SSrecog	PF03531
ST7	PF04184
ST7 protein	PF04184
STAC2_u1	PF16664
STAG	PF08514
STAG domain	PF08514
START	PF01852
START domain	PF01852
STAR_dimer	PF16544
STAS	PF01740
STAS domain	PF01740
STAS domain	PF13466
STAS_2	PF13466
STAT protein, DNA binding domain	PF02864
STAT protein, all-alpha domain	PF01017
STAT protein, protein interaction domain	PF02865
STAT1 TAZ2 binding domain	PF12162
STAT1_TAZ2bind	PF12162
STAT2_C	PF12188
STAT6 C-terminal	PF14596
STAT6_C	PF14596
STAT_alpha	PF01017
STAT_bind	PF02864
STAT_int	PF02865
STE	PF02200
STE like transcription factor	PF02200
STE2	PF02116
STE3	PF02076
STG	PF15809
STIL_N	PF15253
STIM1 Orai1-activating region	PF16533
STN	PF07660
STN1_2	PF09170
STOP	PF05217
STOP protein	PF05217
STPPase_N	PF16891
STT3	PF02516
STb_secrete	PF09075
SUA5	PF03481
SUD-M	PF11633
SUFU	PF05076
SUFU_C	PF12470
SUI1	PF01253
SUIM_assoc	PF16619
SUKH-3	PF14433
SUKH-3 immunity protein	PF14433
SUKH-4	PF14435
SUKH-4 immunity protein	PF14435
SUKH_5	PF14567
SUKH_6	PF14568
SUMO-activating enzyme subunit 2 C-terminus	PF16195
SUN	PF03856
SUR7	PF06687
SUR7/PalI family	PF06687
SURF1	PF02104
SURF1 family	PF02104
SURF2	PF05477
SURF4	PF02077
SURF4 family	PF02077
SURF6	PF04935
SURNod19	PF07712
SUV3_C	PF12513
SUZ	PF12752
SUZ domain	PF12752
SUZ-C	PF12901
SUZ-C motif	PF12901
SVA	PF05326
SVIP	PF15811
SVM protein signal sequence	PF12113
SVM_signal	PF12113
SVS_QK	PF10578
SVWC	PF15430
SWI-SNF_Ssr4	PF08549
SWI5-dependent HO expression protein 3	PF17078
SWIB	PF02201
SWIB/MDM2 domain	PF02201
SWIM	PF04434
SWIM zinc finger	PF04434
SWIRM	PF04433
SWIRM domain	PF04433
SWIRM-assoc_1	PF16495
SWIRM-assoc_2	PF16496
SWIRM-assoc_3	PF16498
SWIRM-associated domain at the C-terminal	PF16498
SWIRM-associated domain at the N-terminal	PF16496
SWIRM-associated region 1	PF16495
SWM_repeat	PF13753
SYCE1	PF15233
SYF2	PF08231
SYF2 splicing factor	PF08231
SYS1	PF09801
S_100	PF01023
S_layer_C	PF05124
S_layer_N	PF05123
S_locus_glycop	PF00954
S_tail_recep_bd	PF14928
SacI homology domain	PF02383
SacI restriction endonuclease	PF09566
Saccharop_dh_N	PF04455
Saccharopepsin inhibitor I34	PF10466
Saccharopine dehydrogenase C-terminal domain	PF16653
Saccharopine dehydrogenase NADP binding domain	PF03435
Sacchrp_dh_C	PF16653
Sacchrp_dh_NADP	PF03435
Sad1 / UNC-like C-terminal	PF07738
Sad1_UNC	PF07738
Saf-Nte_pilin	PF09460
Saf-pilin pilus formation protein	PF09460
SafA	PF17073
Salivary glad secreted protein domain toxin	PF15651
Salivary protein of 15kDa inhibits CD4+ T cell activation	PF12115
Salmonella invasion protein A	PF09052
Salmonella outer protein D	PF11047
Salmonella phage P22 tail-spike	PF09251
Salmonella plasmid virulence protein SpvD	PF05563
Salmonella repeat of unknown function (DUF823)	PF05689
Salmonella repeat of unknown function (DUF824)	PF05688
Salmonella surface presentation of antigen gene type M protein	PF02090
Salmonella type III secretion SopE effector N-terminus	PF05364
Salmonella virulence plasmid 28.1kDa A protein	PF03538
Salmonella virulence plasmid 65kDa B protein	PF03534
Salmonella virulence-associated 28kDa protein	PF03536
Salmonella-Shigella invasin protein C (IpaC_SipC)	PF09599
Salp15	PF12115
Salt stress response/antifungal	PF01657
Salt tolerance down-regulator	PF13945
Salt_tol_Pase	PF09506
Sam68-YY	PF16568
Sap, sulfolipid-1-addressing protein	PF11139
SapA	PF02199
SapB_1	PF05184
SapB_2	PF03489
SapC	PF07277
SapC	PF07277
Saposin A-type domain	PF02199
Saposin-like type B, region 1	PF05184
Saposin-like type B, region 2	PF03489
Sar8.2 family	PF03058
Sar8_2	PF03058
Sarcoglycan alpha/epsilon	PF05510
Sarcoglycan complex subunit protein	PF04790
Sarcoglycan_1	PF04790
Sarcoglycan_2	PF05510
Sarcolipin	PF05366
Sarcolipin	PF05366
Sarcosine oxidase, delta subunit family	PF04267
Sarcosine oxidase, gamma subunit family	PF04268
Sars6	PF12133
Sas10	PF09368
Sas10 C-terminal domain	PF09368
Sas10/Utp3/C1D family	PF04000
Sas10_Utp3	PF04000
SasG_E	PF17041
SatD	PF16264
SatD family (SatD)	PF16264
Satellite tobacco necrosis virus coat protein	PF03898
Saw1	PF11561
SbcCD_C	PF13558
SbcD_C	PF12320
Sbi-IV	PF11621
SbmA/BacA-like family	PF05992
SbmA_BacA	PF05992
Sbt_1	PF05982
ScaI restriction endonuclease	PF09569
Scaffold protein B	PF02304
Scaffold protein Nfu/NifU N terminal	PF08712
Scaffold protein Ste5-Fus5 binding region	PF11610
Scaffolding_pro	PF11418
Scavenger mRNA decapping enzyme (DcpS) N-terminal	PF05652
Scavenger mRNA decapping enzyme C-term binding	PF11969
Scavenger receptor cysteine-rich domain	PF00530
Scavenger receptor cysteine-rich domain	PF15494
Scd6-like Sm domain	PF12701
ScdA_N	PF04405
SchA/CurD like domain	PF04486
SchA_CurD	PF04486
Schizosaccharomyces pombe repeat of unknown function (DUF963)	PF06131
Schwannomin-interacting protein 1	PF10148
Sclerostin	PF05463
Sclerostin (SOST)	PF05463
Scm3	PF10384
Scorpion acidic alpha-KTx toxin family	PF08119
Scorpion antimicrobial peptide	PF08102
Scorpion calcine family	PF08099
Scorpion short toxin	PF05294
Scorpion short toxin, BmKK2	PF00451
Scorpion toxin-like domain	PF00537
Scramblase	PF03803
Scramblase	PF03803
Scrapie-responsive protein 1	PF15224
Scs3p	PF10261
Scytalone dehydratase	PF02982
Scytalone_dh	PF02982
Sda	PF08970
Sdh5	PF03937
Sdh_cyt	PF01127
SdiA-regulated	PF06977
SdiA-regulated	PF06977
SdpI	PF13630
SdpI/YhfL protein family	PF13630
SdrG_C_C	PF10425
Sds3	PF08598
Sds3-like	PF08598
Se-cys_synth_N	PF12390
Sea anemone cytotoxic protein	PF06369
Seadorna_VP6	PF07407
Seadorna_VP7	PF07387
