11p Partial Monosomy Syndrome	D017624
State, Confusional	D003221
State, Decerebrate	D003655
State, Persistent Unawareness	D018458
State, Persistent Vegetative	D018458
State, Prediabetic	D011236
States, Confusional	D003221
States, Decerebrate	D003655
States, Persistent Unawareness	D018458
States, Persistent Vegetative	D018458
States, Prediabetic	D011236
State, Unconscious	D014474
Status Asthmaticus	D013224
Status Epilepticus	D013226
Status Epilepticus, Generalized	D013226
STDs	D012749
Steal Syndrome, Basilar	D013349
Steal Syndromes, Basilar	D013349
Steal Syndromes, Subclavian	D013349
Steal Syndrome, Subclavian	D013349
Steatitides	D013231
Steatitis	D013231
Steatocystoma Multiplex	D062685
Steatocystoma, Multiplex	D062685
Steatocystoma Multiplices	D062685
Steatocystomas, Multiplex	D062685
Steatonecroses	D005218
Steatonecrosis	D005218
Steatorrhea	D045602
Steele-Richardson-Olszewski Disease	D013494
Steele Richardson Olszewski Disease	D013494
Steele-Richardson-Olszewski Syndrome	D013494
Steele Richardson Olszewski Syndrome	D013494
Steely Hair Disease	D007706
Steely Hair Diseases	D007706
Steely Hair Syndrome	D007706
Steely Hair Syndromes	D007706
Steinert Disease	D009223
Steinert Myotonic Dystrophy	D009223
Steinert's Disease	D009223
Steinerts Disease	D009223
Stein-Leventhal Syndrome	D011085
Stein Leventhal Syndrome	D011085
ST Elevated Myocardial Infarction	D000072657
ST Elevation Myocardial Infarction	D000072657
STEMI	D000072657
Stenocardia	D000787
Stenocardias	D000787
Stenoses	D003251
Stenoses, Aortic	D001024
Stenoses, Aortic Subvalvular	D001020
Stenoses, Aortic Supravalvular	D021921
Stenoses, Aortic Valve	D001024
Stenoses, Carotid	D016893
Stenoses, Carotid Artery	D016893
Stenoses, Coronary	D023921
Stenoses, Coronary Artery	D023921
Stenoses, Discrete Subaortic	D021922
Stenoses, Esophageal	D004940
Stenoses, Hypercalcemia-Supravalvar Aortic	D018980
Stenoses, Laryngeal	D007829
Stenoses, Mitral	D008946
Stenoses, Mitral Valve	D008946
Stenoses, Pulmonary Artery	D000071079
Stenoses, Pulmonary Infundibular	D011662
Stenoses, Pulmonary Subvalvular	D011662
Stenoses, Pulmonary Valve	D011666
Stenoses, Pulmonary Vein	D000071078
Stenoses, Spinal	D013130
Stenoses, Subclavian Artery	D013349
Stenoses, Subvalvular Aortic	D001020
Stenoses, Subvalvular Pulmonary	D011662
Stenoses, Tracheal	D014135
Stenoses, Tricuspid Valve	D014264
Stenoses, Urethral	D014525
Stenosing Tendovaginitides	D053682
Stenosing Tendovaginitis	D053682
Stenosing Tenosynovitides	D053682
Stenosing Tenosynovitis	D053682
Stenosing Tenosynovitis, De Quervain	D053684
Stenosing Tenovaginitides	D053682
Stenosing Tenovaginitis	D053682
Stenosis	D003251
Stenosis, Aortic	D001024
Stenosis, Aortic Subvalvular	D001020
Stenosis, Aortic Supravalvular	D021921
Stenosis, Aortic Valve	D001024
Stenosis, Carotid	D016893
Stenosis, Carotid Artery	D016893
Stenosis, Coronary	D023921
Stenosis, Coronary Artery	D023921
Stenosis, Discrete Subaortic	D021922
Stenosis, Esophageal	D004940
Stenosis, Hypercalcemia-Supravalvar Aortic	D018980
Stenosis, Hypertrophic Pyloric	D046248
Stenosis, Laryngeal	D007829
Stenosis, Mitral	D008946
Stenosis, Mitral Valve	D008946
Stenosis, Pulmonary Artery	D000071079
Stenosis, Pulmonary Infundibular	D011662
Stenosis, Pulmonary Subvalvular	D011662
Stenosis, Pulmonary Valve	D011666
Stenosis, Pulmonary Vein	D000071078
Stenosis, Pyloric	D011707
Stenosis, Spinal	D013130
Stenosis, Subclavian Artery	D013349
Stenosis, Subvalvular Aortic	D001020
Stenosis, Subvalvular Pulmonary	D011662
Stenosis, Supravalvular Aortic	D021921
Stenosis, Tracheal	D014135
Stenosis, Tricuspid Valve	D014264
Stenosis, Urethral	D014525
Sternocostoclavicular Hyperostoses	D015218
Sternocostoclavicular Hyperostosis	D015218
Steroid Metabolic Diseases, Inborn	D043202
Steroid Metabolism, Inborn Errors	D043202
Stevens-Johnson Syndrome	D013262
Stevens Johnson Syndrome	D013262
STI	D012749
Stiff-Baby Syndrome	D016750
Stiff-Baby Syndromes	D016750
Stiff-Man Syndrome	D016750
Stiff Man Syndrome	D016750
Stiffman Syndrome	D016750
Stiff-Man Syndrome, Congenital	D016750
Stiff-Man Syndromes, Congenital	D016750
Stiff-Person Syndrome	D016750
Stiff Person Syndrome	D016750
Stiff-Person Syndrome, Congenital	D016750
Stiff-Person Syndromes, Congenital	D016750
Stiff-Trunk Syndrome	D016750
Stiff Trunk Syndrome	D016750
Stiff-Trunk Syndromes	D016750
Stillbirth	D050497
Stillbirths	D050497
Still Disease, Adult-Onset	D016706
Still Disease, Adult Onset	D016706
Stilling-Turk-Duane Syndrome	D004370
Stilling Turk Duane Syndrome	D004370
Stilling-Turk-Duane Syndromes	D004370
Still's Disease, Adult-Onset	D016706
Still's Disease, Adult Onset	D016706
Stills Disease, Adult-Onset	D016706
Stings and Bites	D001733
Sting, Scorpion	D065008
Stings, Scorpion	D065008
Stippled Epiphyses	D002806
STIs	D012749
St. Louis Encephalitis	D004674
St. Louis Viral Encephalitis	D004674
Stokes-Adams Attacks	D000219
Stokes Adams Attacks	D000219
Stokes-Adams Syndrome	D000219
Stokes Adams Syndrome	D000219
Stomach Dilatation	D013271
Stomach Dilation	D013271
Stomach Disease	D013272
Stomach Diseases	D013272
Stomach Diverticula	D013273
Stomach Diverticulosis	D045724
Stomach Diverticulum	D013273
Stomach Fistula	D005747
Stomach Neoplasm	D013274
Stomach Neoplasms	D013274
Stomach Rupture	D013275
Stomach Ruptures	D013275
Stomachs, Watermelon	D020252
Stomach Ulcer	D013276
Stomach Ulcers	D013276
Stomach Volvulus	D013277
Stomach, Watermelon	D020252
Stomatitides	D013280
Stomatitides, Aphthous	D013281
Stomatitides, Denture	D013282
Stomatitides, Gangrenous	D009625
Stomatitides, Herpetic	D013283
Stomatitides, Vesicular	D054243
Stomatitis	D013280
Stomatitis, Aphthous	D013281
Stomatitis, Denture	D013282
Stomatitis, Gangrenous	D009625
Stomatitis, Herpetic	D013283
Stomatitis, Vesicular	D054243
Stomatitis, Vincent's	D005892
Stomatognathic Disease	D009057
Stomatognathic Diseases	D009057
Stomatognathic System Abnormalities	D018640
Stomatognathic System Abnormality	D018640
Stone, Bladder	D001744
Stone, Kidney	D007669
Stone, Salivary Duct	D012465
Stone, Salivary Gland	D015494
Stones, Bladder	D001744
Stones, Kidney	D007669
Stones, Salivary Duct	D012465
Stones, Salivary Gland	D015494
Stones, Urinary	D014545
Stones, Urinary Bladder	D001744
Stones, Urinary Tract	D014545
Stone, Urinary	D014545
Stone, Urinary Bladder	D001744
Stone, Urinary Tract	D014545
Storage Disease, Ceroid	D009472
Storage Disease, Copper	D006527
Storage Disease, Ganglioside	D005733
Storage Disease, Glycogen	D006008
Storage Disease, Lipofuscin	D009472
Storage Diseases, Ceroid	D009472
Storage Diseases, Copper	D006527
Storage Diseases, Ganglioside	D005733
Storage Diseases, Glycogen	D006008
Storage Diseases, Lipofuscin	D009472
Storage Disease, Sphingolipid	D013106
Storage Diseases, Sphingolipid	D013106
Storage Disorder, Ganglioside	D005733
Storage Disorder, Iron	D006432
Storage Disorders, Ganglioside	D005733
Storage Disorders, Iron	D006432
Storage Pool Deficiencies	D010981
Storage Pool Deficiency	D010981
Storage Pool Deficiency, Platelet	D010981
Storage Pool Platelet Disease	D010981
Storm, Thyroid	D013958
Storm, Thyrotoxic	D013958
Stove-in Chest	D005409
Stove in Chest	D005409
Strabismus	D013285
Strabismus, Convergent	D004948
Strabismus, Divergent	D005099
Strabismus, Internal	D004948
Strain Injuries, Repetition	D012090
Strain Injuries, Repetitive	D012090
Strain Injury, Repetition	D012090
Strain Injury, Repetitive	D012090
Strains and Sprains	D013180
Strawberry Hemangioma	D006392
Strawberry Hemangiomas	D006392
Streak, Angioid	D000793
Streaks, Angioid	D000793
Streeter Syndrome	D000652
Streptobacillus moniliformis Infection	D011906
Streptobacillus moniliformis Infections	D011906
Streptococcal Infection	D013290
Streptococcal Infections	D013290
Streptococcus pneumoniae Infection	D011008
Streptococcus pneumoniae Infections	D011008
Streptococcus pneumoniae Meningitides	D008586
Streptococcus pneumoniae Meningitis	D008586
Stress Cardiomyopathy	D054549
Stress Disorder, Heat	D018882
Stress Disorders, Heat	D018882
Stresses, Job	D000073397
Stresses, Job-related	D000073397
Stresses, Occupational	D000073397
Stresses, Professional	D000073397
Stresses, Secondary Traumatic	D000068376
Stresses, Workplace	D000073397
Stresses, Work Place	D000073397
Stresses, Work-related	D000073397
Stress Fracture	D015775
Stress Fractures	D015775
Stress Headache	D018781
Stress Headaches	D018781
Stress Incontinence, Urinary	D014550
Stress Injuries, Repetitive	D012090
Stress Injury, Repetitive	D012090
Stress, Job	D000073397
Stress, Job-related	D000073397
Stress, Occupational	D000073397
Stress, Professional	D000073397
Stress, Secondary Traumatic	D000068376
Stress Syndrome, Heat	D018882
Stress Syndromes, Heat	D018882
Stress, Workplace	D000073397
Stress, Work Place	D000073397
Stress, Work-related	D000073397
Stretch Mark	D057896
Stretch Marks	D057896
Striae Distensae	D057896
Striatonigral Atrophies	D020955
Striatonigral Atrophy	D020955
Striatonigral Degeneration	D020955
Striatonigral Degeneration, Autosomal Dominant	D017827
Striatonigral Degenerations	D020955
Stricture	D003251
Stricture, Esophageal	D004940
Strictures	D003251
Strictures, Urethral	D014525
Stricture, Urethral	D014525
Stroke	D020521
Stroke, Anterior Cerebral Artery	D020243
Stroke, Brainstem	D020526
Stroke, Cardiovascular	D009203
Stroke, Cerebral	D020521
Stroke, Cerebrovascular	D020521
Stroke, Heat	D018883
Stroke, Lacunar	D059409
Stroke, Middle Cerebral Artery	D020244
Stroke, Posterior Cerebral Artery	D020762
Strokes	D020521
Strokes, Cardiovascular	D009203
Strokes, Cerebral	D020521
Strokes, Cerebrovascular	D020521
Strokes, Heat	D018883
Strokes, Lacunar	D059409
Stromal Neoplasm, Gastrointestinal	D046152
Stromal Neoplasms, Gastrointestinal	D046152
Stromal Sarcoma, Endometrial	D018203
Stromal Sarcomas, Endometrial	D018203
Stromal Tumor, Endometrial	D036821
Stromal Tumor, Gastrointestinal	D046152
Stromal Tumors, Endometrial	D036821
Stromal Tumors, Gastrointestinal	D046152
Strongyle Infection, Equine	D013319
Strongyle Infections, Equine	D013319
Strongylida Infection	D017206
Strongylida Infections	D017206
Strongyloidiases	D013322
Strongyloidiasis	D013322
Strongyloses, Equine	D013319
Strongylosis, Equine	D013319
Structural Myopathies, Congenital	D020914
Structural Myopathy, Congenital	D020914
Struma Ovarii	D013330
ST Segment Elevation Myocardial Infarction	D000072657
Stuart-Prower Deficiency	D005171
Stuart Prower Deficiency	D005171
Stuart-Prower Factor Deficiency	D005171
Stuart Prower Factor Deficiency	D005171
Stun Gun Injuries	D057667
Stun Gun Injury	D057667
Stunning, Myocardial	D017682
Stunted Growth	D006130
Stunting	D006130
Stuntings	D006130
Stupor	D053608
Sturge Disease	D013341
Sturge-Kalischer-Weber Syndrome	D013341
Sturge Kalischer Weber Syndrome	D013341
Sturge's Syndrome	D013341
Sturge Syndrome	D013341
Sturge-Weber-Dimitri Syndrome	D013341
Sturge Weber Dimitri Syndrome	D013341
Sturge-Weber-Krabbe Syndrome	D013341
Sturge Weber Krabbe Syndrome	D013341
Sturge-Weber Phakomatosis	D013341
Sturge-Weber Syndrome	D013341
Sturge Weber Syndrome	D013341
Stuttering	D013342
Stuttgart Disease	D007922
Stye	D006726
Styes	D006726
Subacute Bacterial Endocarditides	D004698
Subacute Bacterial Endocarditis	D004698
Subacute Combined Degeneration	D052879
Subacute Combined Neuropathy Degeneration	D052879
Subacute Necrotizing Encephalomyelitides	D007888
Subacute Necrotizing Encephalomyelitis	D007888
Subacute Necrotizing Encephalomyelopathies	D007888
Subacute Necrotizing Encephalomyelopathy	D007888
Subacute Necrotizing Encephalopathies	D007888
Subacute Necrotizing Encephalopathy	D007888
Subacute Nonsuppurative Thyroiditides	D013968
Subacute Nonsuppurative Thyroiditis	D013968
Subacute Painful Thyroiditides	D013968
Subacute Painful Thyroiditis	D013968
Subacute Sclerosing Leukoencephalitides	D013344
Subacute Sclerosing Leukoencephalitis	D013344
Subacute Sclerosing Panencephalitides	D013344
Subacute Sclerosing Panencephalitis	D013344
Subacute Spongiform Encephalopathies	D007562
Subacute Spongiform Encephalopathy	D007562
Subacute Thyroiditides	D013968
Subacute Thyroiditis	D013968
Subaortic Conus, Obstructive	D011662
Subaortic Stenoses, Discrete	D021922
Subaortic Stenosis, Discrete	D021922
Subarachnoid Hemorrhage	D013345
Subarachnoid Hemorrhage, Post-Traumatic	D020206
Subarachnoid Hemorrhages	D013345
Subarachnoid Hemorrhages, Post-Traumatic	D020206
Subarachnoid Hemorrhages, Traumatic	D020206
Subarachnoid Hemorrhage, Traumatic	D020206
Subclavian Artery Stenoses	D013349
Subclavian Artery Stenosis	D013349
Subclavian Steal Syndrome	D013349
Subclavian Steal Syndromes	D013349
Subclinical Infection	D058345
Subclinical Infections	D058345
Subcutaneous Emphysema	D013352
Subcutaneous Emphysemas	D013352
Subdiaphragmatic Abscess	D013369
Subdiaphragmatic Abscesses	D013369
Subdivided Left Atrium	D003310
Subdivided Left Atriums	D003310
Subdural Cerebrospinal Fluid Effusion	D013353
Subdural Cerebrospinal Fluid Leakage	D013353
Subdural Effusion	D013353
Subdural Empyema	D013354
Subdural Empyemas	D013354
Subdural Hematoma	D006408
Subdural Hematoma, Acute	D020199
Subdural Hematoma, Chronic	D020200
Subdural Hematoma, Intracranial	D046648
Subdural Hematomas	D006408
Subdural Hematomas, Acute	D020199
Subdural Hematomas, Chronic	D020200
Subdural Hematomas, Intracranial	D046648
Subdural Hematoma, Spinal	D046649
Subdural Hematomas, Spinal	D046649
Subdural Hemorrhage	D006408
Subdural Hemorrhages	D006408
Subependymal Astrocytoma	D018315
Subependymal Astrocytomas	D018315
Subependymal Glioma	D018315
Subependymal Gliomas	D018315
Subependymoma	D018315
Subependymomas	D018315
Subjective Vertigo	D014717
Subjective Vertigos	D014717
Sublingual Gland Neoplasm	D013362
Sublingual Gland Neoplasms	D013362
Subluxation, Lens	D007906
Subluxations, Lens	D007906
Submandibular Duct Calculi	D012465
Submandibular Gland Disease	D013364
Submandibular Gland Diseases	D013364
Submandibular Gland Neoplasm	D013365
Submandibular Gland Neoplasms	D013365
Submesothelial Fibroma	D054363
Submesothelial Fibromas	D054363
Submucous Fibroses, Oral	D009914
Submucous Fibrosis, Oral	D009914
Subnormal Vision	D015354
Subphrenic Abscess	D013369
Subphrenic Abscesses	D013369
Subsepsis Allergica	D014924
Subsepsis Hyperergica	D014924
Substance Abuse, Intravenous	D015819
Substance Abuse, Oral	D000075067
Substance Abuses, Oral	D000075067
Substance-Induced Psychoses	D011605
Substance Induced Psychoses	D011605
Substance-Related Disorders	D019966
Substance Withdrawal, Neonatal	D009357
Substance Withdrawals, Neonatal	D009357
Substance Withdrawal Syndrome	D013375
Substance Withdrawal Syndromes	D013375
Substernal Goiter	D006045
Substernal Goiters	D006045
Subvalvular Aortic Stenoses	D001020
Subvalvular Aortic Stenosis	D001020
Subvalvular Pulmonary Stenoses	D011662
Subvalvular Pulmonary Stenosis	D011662
Subvalvular Stenoses, Aortic	D001020
Subvalvular Stenoses, Pulmonary	D011662
Subvalvular Stenosis, Aortic	D001020
Subvalvular Stenosis, Pulmonary	D011662
Sudanophilic Cerebral Sclerosis	D002549
Sudden Cardiac Death	D016757
Sudden Death	D003645
Sudden Death, Cardiac	D016757
Sudden Hearing Loss	D003639
Sudden Infant Death	D013398
Sudden Infant Death Syndrome	D013398
Sudden Onset Scleroderma	D045743
Sudden Onset Sclerodermas	D045743
Sudden Unexplained Death Syndrome	D053840
Sudden Unexplained Nocturnal Death Syndrome	D053840
Sudden Unexplained Nocturnal Death Syndrome (SUNDS)	D053840
Sudek Atrophy	D012019
Sudek's Atrophies	D012019
Sudek's Atrophy	D012019
Sudeks Atrophy	D012019
Sudor Anglicus	D018614
Suffocation	D001237
Suffocations	D001237
Sulfatide Lipidosis	D007966
Sulfatidoses	D052516
Sulfatidosis	D052516
Sulfhemoglobinemia	D013436
Sulfhemoglobinemias	D013436
Summer Cholera	D017688
Summer Choleras	D017688
Sunburn	D013471
Sunburns	D013471
SUNCT Syndrome	D050798
SUNCT Syndromes	D050798
Sunstroke	D013474
Sun Stroke	D013474
Sunstrokes	D013474
Sun Strokes	D013474
Superinfection	D015163
Superinfections	D015163
Superinvasion, Microbial	D015163
Superinvasions, Microbial	D015163
Superior Mesenteric Artery Syndrome	D013478
Superior Thoracic Aperture Syndrome	D013901
Superior Vena Cava Obstruction	D013479
Superior Vena Cava Syndrome	D013479
Supernumerary Teeth	D014096
Supernumerary Tooth	D014096
Supinator Syndrome	D020425
Supinator Syndromes	D020425
Suppuration	D013492
Suppurative Hidradenitides	D017497
Suppurative Hidradenitis	D017497
Suppurative Otitis Media	D010035
Suppurative Periapical Periodontitides	D010482
Suppurative Periapical Periodontitis	D010482
Suppurative Thyroiditides	D013969
Suppurative Thyroiditides, Acute	D013969
Suppurative Thyroiditis	D013969
Suppurative Thyroiditis, Acute	D013969
Suppurative Uveitides	D015829
Suppurative Uveitis	D015829
Supraglottitides	D059525
Supraglottitis	D059525
Supranuclear Ophthalmoplegia, Progressive	D013494
Supranuclear Palsies, Progressive	D013494
Supranuclear Palsy, Progressive	D013494
Supranuclear Palsy, Progressive, 1	D013494
Supraoptic Vertical Ophthalmoplegia	D052536
Supraoptic Vertical Ophthalmoplegias	D052536
Supratentorial Neoplasm	D015173
Supratentorial Neoplasms	D015173
Supratentorial Tumor	D015173
Supratentorial Tumors	D015173
Supravalvar Aortic Stenosis	D021921
Supravalvar Aortic Stenosis Syndrome	D018980
Supravalvular Aortic Stenosis	D021921
Supravalvular Stenoses, Aortic	D021921
Supravalvular Stenosis, Aortic	D021921
Supraventricular Beat, Premature	D018880
Supraventricular Beats, Premature	D018880
Supraventricular Tachycardia	D013617
Supraventricular Tachycardias	D013617
Surdo-Cardiac Syndrome	D029593
Surdo Cardiac Syndrome	D029593
Surdo-Cardiac Syndromes	D029593
Surgical Blood Loss	D016063
Surgical Blood Losses	D016063
Surgical Hemorrhage	D016063
Surgical Hemorrhages	D016063
Surgical Incision	D000072836
Surgical Incisions	D000072836
Surgical Margin	D000072662
Surgical Margins	D000072662
Surgical Shock	D012773
Surgical Shocks	D012773
Surgical Site Infection	D013530
Surgical Site Infections	D013530
Surgical Wound	D000072836
Surgical Wound Dehiscence	D013529
Surgical Wound Infection	D013530
Surgical Wound Infections	D013530
Surgical Wounds	D000072836
Susac's Syndrome	D055955
Susacs Syndrome	D055955
Susac Syndrome	D055955
Susceptibilities, Disease	D004198
Susceptibilities, Genetic	D020022
Susceptibility, Disease	D004198
Susceptibility, Genetic	D020022
Swallowing, Air	D000334
Swallowing Disorder	D003680
Swallowing Disorders	D003680
Swamp Fever	D004859
Swamp Fevers	D004859
Swayback	D013540
Sweat Gland Adenoma	D006607
Sweat Gland Adenomas	D006607
Sweat Gland Disease	D013543
Sweat Gland Diseases	D013543
Sweat Gland Neoplasm	D013544
Sweat Gland Neoplasms	D013544
Sweating, Gustatory	D013547
Sweating Sickness	D018614
Sweet's Syndrome	D016463
Sweets Syndrome	D016463
Sweet Syndrome	D016463
Swelling, Brain	D001929
Swift Disease	D000170
Swift's Disease	D000170
Swifts Disease	D000170
Swine Disease	D013553
Swine Disease, Mystery	D019318
Swine Diseases	D013553
Swine Edema Disease	D004488
Swine Edema Diseases	D004488
Swine Enzootic Pneumonia	D045729
Swine Erysipelas	D013554
Swine Exudative Dermatitides	D004818
Swine Exudative Dermatitis	D004818
Swine Fever	D006691
Swine Fever, African	D000357
Swine Fever, Classical	D006691
Swine Infertility and Respiratory Syndrome	D019318
Swine Mycoplasmal Pneumonia	D045729
Swine Mycoplasma Pneumonia	D045729
Swine Transmissible Gastroenteritides	D005761
Swine Transmissible Gastroenteritis	D005761
Swine Vesicular Disease	D013555
Swine Vesicular Diseases	D013555
Swine Vesicular Exanthema	D014720
Swine Vesicular Exanthemas	D014720
Sylvian Epilepsy	D019305
Symmetrical Lipomatoses, Multiple	D008069
Symmetrical Lipomatosis, Multiple	D008069
Symmetric Lipomatoses, Multiple	D008069
Symmetric Lipomatosis, Multiple	D008069
Sympathetic Dystrophies, Reflex	D012019
Sympathetic Dystrophy, Reflex	D012019
Sympathetic Ocular-Ophthalmoplegia	D006732
Sympathetic Ocular Ophthalmoplegia	D006732
Sympathetic Ocular-Ophthalmoplegias	D006732
Sympathetic Ocular Ophthalmoplegias	D006732
Sympathetic Ophthalmia	D009879
Sympathetic Ophthalmias	D009879
Sympathetic Reflex Dystrophia	D012019
Sympathetic Reflex Dystrophias	D012019
Sympathetic Uveitides	D009879
Sympathetic Uveitis	D009879
Symphysis Pubis Diastases	D046548
Symphysis Pubis, Diastasis	D046548
Symphysis Pubis Diastasis	D046548
Symptomatic Parkinson Disease	D010302
Symptomatic Parkinsonism	D010302
Symptom Cluster	D013577
Symptom Clusters	D013577
Symptom, Cognitive	D019954
Symptom Complex, Triple	D001528
Symptom Complices, Triple	D001528
Symptom Flare, Acute	D000067251
Symptom Flares, Acute	D000067251
Symptom Flare Up	D000067251
Symptom Flareup	D000067251
Symptom Flare-up	D000067251
Symptom Flare Ups	D000067251
Symptom Flareups	D000067251
Symptom Flare-ups	D000067251
Symptom Flaring Up	D000067251
Symptom Flaring Ups	D000067251
Symptom, Medically Unexplained	D000071896
Symptom, Prodromal	D062706
Symptoms and General Pathology	D013568
Symptoms and Signs	D012816
Symptoms, Cognitive	D019954
Symptoms, Medically Unexplained	D000071896
Symptom, Somatic	D000071896
Symptoms, Prodromal	D062706
Symptoms, Somatic	D000071896
Synchronous Multiple Primary Neoplasms	D009378
Synchronous Neoplasm	D009378
Synchronous Neoplasms	D009378
Syncope	D013575
Syncope, Neurocardiogenic	D019462
Syncope, Neurogenic	D019462
Syncopes	D013575
Syncopes, Neurocardiogenic	D019462
Syncopes, Neurogenic	D019462
Syncopes, Vasodepressor	D019462
Syncopes, Vasovagal	D019462
Syncope, Vasodepressor	D019462
Syncope, Vasovagal	D019462
Syncope, Vasovagal, Neurally-Mediated	D019462
Syndactylia	D013576
Syndactylias	D013576
Syndactylies	D013576
Syndactyly	D013576
Syndactyly, Poland	D011045
Syndrome	D013577
Syndrome, 22q11 Deletion	D058165
Syndrome, 5p-	D003410
Syndrome, 5p Deletion	D003410
Syndrome, 5p Minus	D003410
Syndrome, Acquired Hyperostosis	D020083
Syndrome, Acquired Immuno-Deficiency	D000163
Syndrome, Acquired Immunodeficiency	D000163
Syndrome, Acrocallosal	D055673
Syndrome, Acute Chest	D056586
Syndrome, Acute Coronary	D054058
Syndrome, Adams-Stokes	D000219
Syndrome, Adie	D000270
Syndrome, Adie's	D000270
Syndrome, Adrenogenital	D047808
Syndrome, Afferent Loop	D000343
Syndrome, Aicardi	D058540
Syndrome, Aicardi's	D058540
Syndrome, Alagille	D016738
Syndrome, Alagille's	D016738
Syndrome, Alagille-Watson	D016738
Syndrome, Alagille Watson	D016738
Syndrome, ALCAPA	D063748
Syndrome, Aldrich	D014923
Syndrome, Alien Hand	D055964
Syndrome, Alström	D056769
Syndrome, Alstrom	D056769
Syndrome, Alstrom-Hallgren	D056769
Syndrome, Alstrom's	D056769
Syndrome, Amniotic Band	D000652
Syndrome, Anarchic Hand	D055964
Syndrome, Ander's	D000274
Syndrome, Anders	D000274
Syndrome, Andersen	D050030
Syndrome, Andersen Tawil	D050030
Syndrome, Angelman	D017204
Syndrome, Angina X	D017566
Syndrome, Angioosteohypertrophy	D007715
Syndrome, Angio-Osteohypertrophy	D007715
Syndrome, Anterior Compartment	D000868
Syndrome, Anterior Spinal Artery	D020759
Syndrome, Anterior Tibial	D000868
Syndrome, Anticholinergic	D064807
Syndrome, Antiphospholipid	D016736
Syndrome, Anti-Phospholipid	D016736
Syndrome, Antiphospholipid Antibody	D016736
Syndrome, Anti-Phospholipid Antibody	D016736
Syndrome, Aortic Arch	D001015
Syndrome, Apical Ballooning	D054549
Syndrome, Armstrong	D008216
Syndrome, Armstrong's	D008216
Syndrome, Arnold-Chiari	D001139
Syndrome, Arsenical Neurotoxicity	D020261
Syndrome, Aspirin-Induced Asthma	D055963
Syndrome, Ataxia Telangiectasia	D001260
Syndrome, Atypical Hemolytic-Uremic	D065766
Syndrome, Autoimmune Lymphoproliferative	D056735
Syndrome, Bacterial Overgrowth	D001765
Syndrome, Bardet-Biedl	D020788
Syndrome, Barre-Lieou	D055010
Syndrome, Barth	D056889
Syndrome, Bartter	D001477
Syndrome, Bartter's	D001477
Syndrome, Battered Child	D001497
Syndrome, Bechterew	D025242
Syndrome, Beckwith-Wiedemann	D001506
Syndrome, Berardinelli-Seip	D052497
Syndrome, Berlin Breakage	D049932
Syndrome, Bernard	D006732
Syndrome, Bernard's	D006732
Syndrome, Bernard-Soulier	D001606
Syndrome, Besnier-Boeck-Schaumann	D012507
Syndrome, Beuren	D018980
Syndrome, B-K Mole	D004416
Syndrome, Bland-White-Garland	D063748
Syndrome, Blepharospasm-Oromandibular Dystonia	D008538
Syndrome, Blind Loop	D001765
Syndrome, Bloch-Sulzberger	D007184
Syndrome, Bloom	D001816
Syndrome, Bloom-Torre-Machacek	D001816
Syndrome, Blue Toe	D018438
Syndrome, BOR	D019280
Syndrome, Bourneville	D014402
Syndrome, Bourneville's	D014402
Syndrome, Brachial-Basilar Insufficiency	D013349
Syndrome, Brachmann-De Lange	D003635
Syndrome, Bradbury-Eggleston	D054970
Syndrome, Branchio-Oto-Renal	D019280
Syndrome, Broad Thumb-Hallux	D012415
Syndrome, Brock's	D008878
Syndrome, Broken Heart	D054549
Syndrome, Brown-Sequard	D018437
Syndrome, Brown-Sequard's	D018437
Syndrome, Brunzell (with Bone Cysts)	D052497
Syndrome, Buckley	D007589
Syndrome, Burger-Grutz	D008072
Syndrome, Burning Mouth	D002054
Syndrome, Cacchi-Ricci	D007691
Syndrome, Caffey-De Toni-Silvermann	D006958
Syndrome, Campomelic	D055036
Syndrome, Canale-Smith	D056735
Syndrome, Canale Smith	D056735
Syndrome, Carbohydrate-Deficient Glycoprotein	D018981
Syndrome, Cardio-Cutaneous	D044542
Syndrome, Cardio-Renal	D059347
Syndrome, Cardiorenal	D059347
Syndrome, Cardiovertebral	D016738
Syndrome, Carney	D056733
Syndrome, Caroli's	D016767
Syndrome, Carpal Tunnel	D002349
Syndrome, Cast	D013478
Syndrome, Cat Cry	D003410
Syndrome, Causalgia	D002422
Syndrome, Cerebellar	D002526
Syndrome, Cerebroside Lipidosis	D005776
Syndrome, Cervical Rib	D002573
Syndrome, Charcot-Marie-Tooth	D002607
Syndrome, CHARGE	D058747
Syndrome, Chediak-Higashi	D002609
Syndrome, Chediak-Steinbrinck-Higashi	D002609
Syndrome, Chemke	D058494
Syndrome, Chiari-Frommel	D002640
Syndrome, Chilaiditi	D059269
Syndrome, Chilaiditi's	D059269
Syndrome, Chorea	D002819
Syndrome, Choreatic	D002819
Syndrome, Choreoathetosis Self-Mutilation	D007926
Syndrome, Chromosome 4p	D054877
Syndrome, Chromosome 5p-	D003410
Syndrome, Churg-Strauss	D015267
Syndrome, Claude Bernard-Horner	D006732
Syndrome, Click-Murmur	D008945
Syndrome, Cluster Headache	D003027
Syndrome, Cockayne	D003057
Syndrome, Cockett	D062108
Syndrome, Co-Contractive Retraction	D004370
Syndrome, COD-MD	D058494
Syndrome, Coffin	D038921
Syndrome, Coffin-Lowry	D038921
Syndrome, Cogan	D055952
Syndrome, Cogans	D055952
Syndrome, Cogan's	D055952
